name,neighborhood,address,x,y
MT. VERNON  HOTEL AND WASHINGTON CAFE',Mount Vernon,"24 FRANKLIN ST
Baltimore, MD",379,490
MT. WASHINGTON TAVERN,Mount Washington,"5700 NEWBURY ST
Baltimore, MD",206,667
MUGGSY'S,Federal Hill,"1236 LIGHT ST
Baltimore, MD",599,785
MUGHAL GARDEN,Mount Vernon,"918 CHARLES ST
Baltimore, MD",629,318
MUIR'S TAVERN,SBIC,"36 FORT AVE
Baltimore, MD",487,475
MUM'S,Sharp-Leadenhall,"1132 HANOVER ST
Baltimore, MD",968,690
MURPHY'S NEIGHBORHOOD BAR & GRILL,Mid-Govans,"5847 YORK RD
Baltimore, MD",250,319
MUSTANG ALLEY'S,Little Italy,"1300 BANK ST
Baltimore, MD",845,221
MUSTANG INN,Highlandtown,"3203 EASTERN AVE
Baltimore, MD",390,534
MVP ENTERTAINMENT LLC CLUB 347-KITCHEN AREA,Downtown,"347 CALVERT ST
Baltimore, MD",3,361
"MY COUSIN'S PLACE, LLC (3925-27)",Baltimore Highlands,"3925 LOMBARD ST
Baltimore, MD",138,651
MY PANINI,Inner Harbor,"711 EASTERN AVE
Baltimore, MD",50,332
MY THAI RESTAURANT,Mount Vernon,"800 CHARLES ST
Baltimore, MD",399,696
NAK WON RESTAURANT,Charles North,"12 20TH ST
Baltimore, MD",731,295
NAM KANG KOREAN RESTAURANT   (AKA 101 W. 22ND ST.),Charles North,"2126 MARYLAND AVE
Baltimore, MD",453,703
NASU BLANCA,Riverside,"1036 FORT AVE
Baltimore, MD",549,123
NCDEVINS,Canton,"801 DECKER AVE
Baltimore, MD",957,934
NELSON BAKED GOODS & COFFEE SHOP,Middle East,"531 CHESTER ST
Baltimore, MD",910,478
NEOPOL,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD",416,16
network deli,Woodberry,"3600 malden ave
Baltimore, MD",729,104
NEVER ON SUNDAY,Mount Vernon,"829 CHARLES ST
Baltimore, MD",175,953
NEVIN'S  CROSS  STREET STATION,Federal Hill,"31 CROSS ST
Baltimore, MD",789,574
NEW CLUB THUNDERBIRD INC.,Middle East,"2201 CHASE ST
Baltimore, MD",217,405
NEW DUFFY' S RESTAURANT,Irvington,"3436 FREDERICK AVE
Baltimore, MD",55,788
NEW EVERGREEN CAFÂ,Reisterstown Station,"6618 C REISTERSTOWN RD
Baltimore, MD",947,605
"NEW HONG  KONG RESTAURANT, INC.",Charles Village,"2426 CHARLES ST
Baltimore, MD",94,383
NEW JOHNSON'S LOUNGE,Midtown-Edmondson,"546 PULASKI ST
Baltimore, MD",510,67
"NEW MAY FLOWER BUFFET, INC.",Oakenshawe,"3326 GREENMOUNT AVE
Baltimore, MD",350,402
"NEW MAYFIELD, INC.",Belair-Edison,"3349 BELAIR RD
Baltimore, MD",479,611
NEW MOM & DAD LIQUORS,Sandtown-Winchester,"2143 PENNSYLVANIA AVE
Baltimore, MD",374,938
NEW NO  DO  JI  RESTAURANT,Charles Village,"2501 CHARLES ST
Baltimore, MD",725,578
HARRIS' TAVERN,Gwynns Falls,"2949 FREDERICK AVE
Baltimore, MD",894,877
"HARRY OLIVER MANAGEMENT CO., INC.",Fells Point,"801 ANN ST
Baltimore, MD",412,633
HARRY'S AMERICAN BAR,Canton,"623 LUZERNE AVE
Baltimore, MD",889,88
HARVEST TABLE,Locust Point Industrial Area,"1000 HULL ST
Baltimore, MD",509,280
HAVE A NICE DAY CAFÂ  (AKA 2 MARKET PLACE),Downtown,"34 MARKET PL
Baltimore, MD",630,330
HAVEN PLACE,Baltimore Highlands,"400 HAVEN ST
Baltimore, MD",978,506
hawley's  (2616-20),Morrell Park,"2616 WASHINGTON blvd
Baltimore, MD",848,798
HEATH STREET PUB,SBIC,"32 HEATH ST
Baltimore, MD",128,288
"HEIGHTS LIQUORS, INC.",Arlington,"5302 PARK HEIGHTS AVE
Baltimore, MD",320,219
HELEN'S GARDEN  CAFE',Canton,"2908 O DONNELL ST
Baltimore, MD",74,417
HELLAS COFFEE SHOP,Greektown,"4709 EASTERN AVE
Baltimore, MD",251,220
HENNINGER'S TAVERN,Upper Fells Point,"1810 BANK ST
Baltimore, MD",548,24
"HIDING SPOT, INC.",Brooklyn,"3638 HANOVER ST
Baltimore, MD",260,545
"HIGH GROUNDS COFFEE ROASTERS, LLC",Highlandtown,"3201 EASTERN AVE
Baltimore, MD",825,800
HIGHLAND CLIPPER CLUB,Brewers Hill,"621 DEAN ST
Baltimore, MD",476,918
HILLEN RESTAURANT,Penn-Fallsway,"1041 HILLEN ST
Baltimore, MD",85,141
HIPPOPOTAMUS (932-34),Mount Vernon,"932 CHARLES ST
Baltimore, MD",208,531
HOGAN'S ALLEY,Riverside,"1501 COVINGTON ST
Baltimore, MD",471,453
HOLIDAY HOUSE,Westfield,"6427 HARFORD RD
Baltimore, MD",621,403
HOLIDAY INN-INNER HARBOR,Inner Harbor,"301 LOMBARD ST
Baltimore, MD",103,594
HOLIDAY RESTAURANT,Brooklyn,"3570 HANOVER ST
Baltimore, MD",736,577
HOLLINS STREET PUB,Hollins Market,"1214 HOLLINS STREET
Baltimore, MD",395,717
HOLLINSWOOD INN,Lakeland,"2839 ANNAPOLIS RD
Baltimore, MD",239,354
HOLLYWOOD DINER,Downtown,"400 SARATOGA ST
Baltimore, MD",908,174
HOLY FRIJOLES,Hampden,"908 36TH ST
Baltimore, MD",159,576
HOMETOWN DELI,Downtown,"311 CALVERT ST
Baltimore, MD",926,860
HOMETOWN GIRL & COMPANY,Hampden,"1001 36TH ST
Baltimore, MD",773,136
HONEY'S LOUNGE,Upper Fells Point,"1722 GOUGH ST
Baltimore, MD",25,207
HOOTERS OF AMERICA,Inner Harbor,"301 LIGHT ST
Baltimore, MD",476,705
HOPKINS DELI,Tuscany-Canterbury,"110 39TH ST
Baltimore, MD",966,941
HOPKINS PLAZA DELI,Downtown,"Hopkins Pl
Baltimore, MD",598,619
HOPKINS SUBWAY,Charles Village,"3233 ST PAUL ST
Baltimore, MD",517,204
HORSEFEATHER'S PUB,Baltimore-Linwood,"40 STREEPER ST
Baltimore, MD",52,961
HOT TOMATOES-CAFÂ FORTUNATO,Fells Point,"717 BROADWAY
Baltimore, MD",205,320
HOULIHANS OF MARYLAND,Inner Harbor,"621 PRATT ST
Baltimore, MD",403,893
HOWL AT THE MOON  (AKA 22 MARKET PL),Downtown,"34 MARKET PL
Baltimore, MD",796,177
HUCKAS,Canton,"2324 BOSTON ST
Baltimore, MD",577,926
HULL STREET BLUES,Locust Point,"1222 HULL ST
Baltimore, MD",806,261
HUNAN EMPIRE,Riverside,"849 FORT AVE
Baltimore, MD",102,575
HYATT REGENCY BALTIMORE      (PISCES & BAR),Inner Harbor,"300 LIGHT ST
Baltimore, MD",772,319
HYATT REGENCY BALTIMORE    (Perks -LOBBY BAR),Inner Harbor,"300 LIGHT ST
Baltimore, MD",191,865
HYATT REGENCY BALTIMORE   (CAFETERIA),Inner Harbor,"300 LIGHT ST
Baltimore, MD",390,656
HYATT REGENCY BALTIMORE  (KITCHEN/BANQUET ROOM),Inner Harbor,"300 LIGHT ST
Baltimore, MD",928,369
HYATT REGENCY OF BALTIMORE  (Bistro-300 & Bar),Inner Harbor,"300 LIGHT ST
Baltimore, MD",743,10
I BAR,Charles North,"2118 MARYLAND AVE
Baltimore, MD",351,682
"I.B.P.O.E. OF W., INCORPORATED",East Baltimore Midway,"2008 HARFORD RD
Baltimore, MD",899,959
I'CON INN,Kresson,"45 KRESSON ST
Baltimore, MD",597,575
IGGIES,Mount Vernon,"818 CALVERT ST
Baltimore, MD",864,140
IGUANA CANTINA BAR,Inner Harbor,"124 MARKET PLACE
Baltimore, MD",794,590
IKAN SEAFOOD,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD",270,955
IKAROS RESTAURANT,Greektown,"4805 EASTERN AVE
Baltimore, MD",173,188
IKE'S PLACE,Carrollton Ridge,"2248 WILKENS Ave
Baltimore, MD",130,317
"IL MONDO,INC",Little Italy,"217 HIGH ST
Baltimore, MD",36,394
ILLUSIONS MAGIC BAR & LOUNGE,Federal Hill,"1025 27 S CHARLES ST
Baltimore, MD",828,72
IMPRESSED CAFÂ,Downtown,"200 LEXINGTON ST
Baltimore, MD",885,452
INCOGNITO TAVERN,Carrollton Ridge,"424 PAYSON ST
Baltimore, MD",794,591
INDIA RASOI RESTAURANT,Little Italy,"411 HIGH ST
Baltimore, MD",898,331
INDIA TANDOOR,Charles North,"2101 CHARLES ST
Baltimore, MD",229,724
INDIGMA,Mount Vernon,"802 CHARLES ST
Baltimore, MD",669,789
INSIDE RAIL BAR,Pimlico Good Neighbors,"Hayward Ave
Baltimore, MD",939,334
INTERCONTINENTAL HARBOR COURT-BRIGHTON'S,Otterbein,"550 LIGHT ST
Baltimore, MD",299,155
INTERCONTINENTAL HARBOR-EXPRESSO,Otterbein,"550 LIGHT ST
Baltimore, MD",245,790
INTRINSICS RESTAURANT,Woodmere,"5209 REISTERSTOWN RD
Baltimore, MD",142,655
IRISH PUB,Highlandtown,"418 CLINTON ST
Baltimore, MD",313,866
ISIS ( 226-228),Downtown,"226 PARK AVE
Baltimore, MD",47,916
ISLAND II,Fells Point,"1928 FLEET ST
Baltimore, MD",225,502
ITALIANOS RESTAURANT CARRYOUT,Morrell Park,"2229 WASHINGTON BLVD
Baltimore, MD",678,993
ixia restaurant,Mount Vernon,"518 charles st
Baltimore, MD",980,800
J & J LOUNGE,Coppin Heights/Ash-Co-East,"2738 BAKER ST
Baltimore, MD",957,298
J & J TAVERN,Carrollton Ridge,"1801 RAMSAY ST
Baltimore, MD",291,761
J & M CORNER BAR,Baltimore Highlands,"3527 BALTIMORE ST
Baltimore, MD",94,905
J & S BAR & LOUNGE,Ellwood Park/Monument,"301 LONEYS LN
Baltimore, MD",28,172
J RAY'S CAFE,Washington Village,"900 CAREY ST
Baltimore, MD",195,146
"J. PATRICK, INC.",Locust Point,"1367 ANDRE ST
Baltimore, MD",540,999
J. PAUL'S,Inner Harbor,"301 LIGHT ST
Baltimore, MD",650,870
J. T.'S SALOON,Rosemont East,"6317 BELAIR RD
Baltimore, MD",390,781
JACK'S BISTRO,Canton,"3123 ELLIOTT ST
Baltimore, MD",629,104
JACK'S LIQUOR & LOUNGE,Sharp-Leadenhall,"141 HAMBURG ST
Baltimore, MD",931,680
JAMES JOYCE IRISH PUB AND RESTAURANT,Inner Harbor,"616 PRESIDENT ST
Baltimore, MD",564,75
KAMP  (2312-14),Canton,"2312 BOSTON ST
Baltimore, MD",998,770
KASBAH CAFÂ,Fells Point,"726 BROADWAY
Baltimore, MD",432,620
KAWASAKI CAFÂ,Fells Point,"907 ANN ST
Baltimore, MD",790,254
KAY-CEE CLUB,Homeland,"201 HOMELAND AVE
Baltimore, MD",825,517
K'C' CORNER TAVERN,Westfield,"6626 HARFORD RD
Baltimore, MD",141,267
KELLY'S,Canton,"2106 EASTERN AVE
Baltimore, MD",299,195
KELLY'S BAR & LOUNGE,Carrollton Ridge,"291 PULASKI ST
Baltimore, MD",101,829
KENTUCKY  FRIED  CHICKEN,Glenham-Belford,"6219 BELAIR RD
Baltimore, MD",350,977
KENTUCKY FRIED CHICKEN,Downtown,"100 HOWARD ST
Baltimore, MD",983,563
KENTUCKY FRIED CHICKEN,Charles North,"1821 ST PAUL ST
Baltimore, MD",257,30
KENTUCKY FRIED CHICKEN,Better Waverly,"2853 GREENMOUNT AVE
Baltimore, MD",149,866
KENTUCKY FRIED CHICKEN,Irvington,"3815 WILKENS AVE
Baltimore, MD",703,815
KENTUCKY FRIED CHICKEN,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD",910,298
KENTUCKY FRIED CHICKEN  Y070-074,Liberty Square,"3300 REISTERSTOWN RD
Baltimore, MD",481,593
KFC / LONG JOHN SILVERS,Frankford,"5000 SINCLAIR LN
Baltimore, MD",840,354
KFC-Y320011,Glen,"6600 REISTERSTOWN RD
Baltimore, MD",41,773
KICK BACK JACK'S,Frankford,"4825 BELAIR RD
Baltimore, MD",851,885
KIKU SUSHI RESTAURANT,Federal Hill,"1017 LIGHT ST
Baltimore, MD",460,530
"KIMMY'S RESTAURANT & CARRYOUT, INC.",Seton Business Park,"5732 WABASH AVE
Baltimore, MD",115,506
KIM'S LIQUORS,Northwest Community Action,"2863 NORTH AVE
Baltimore, MD",537,328
KIM'S RESTAURANT & CARRYOUT,Federal Hill,"1121 LIGHT ST
Baltimore, MD",981,386
KING BUFFET,Lakeland,"2201 PATAPSCO AVE
Baltimore, MD",338,948
"KING'S GARDEN CAFÂ, LLC",Downtown,"218 CHARLES ST
Baltimore, MD",809,171
KING'S PIZZA EXPRESS,Hampden,"907 36TH ST
Baltimore, MD",413,345
KIRBIE'S GRILL & CAFÂ,Downtown,"410 REDWOOD ST
Baltimore, MD",598,985
KIRBY'S KORNER,Baltimore-Linwood,"35 POTOMAC ST
Baltimore, MD",756,431
KISLING'S TAVERN,Canton,"2100 FLEET ST
Baltimore, MD",552,570
KISS CAFÂ,Canton,"2400 BOSTON ST
Baltimore, MD",289,580
KITTY'S LOUNGE,Abell,"3208 GREENMOUNT AVE
Baltimore, MD",295,834
K-MART MORAVIA  STORE #3229,Frankford,"5100 SINCLAIR LN
Baltimore, MD",902,531
KNOTTY PINE INN,Canton,"801 CONKLING ST
Baltimore, MD",702,967
KOBA CAFÂ,Riverside,"644 FORT AVE
Baltimore, MD",881,570
"KOCO'S PUB, INC.",Lauraville,"4301 HARFORD RD
Baltimore, MD",245,372
KOLPERS RESTAURANT AND BAR,Jones Falls Area,"1520 CLIPPER RD
Baltimore, MD",73,36
KOOPER'S TAVERN,Fells Point,"1702 THAMES ST
Baltimore, MD",632,91
KOSHER BITE,Reisterstown Station,"6309 REISTERSTOWN RD
Baltimore, MD",982,729
KOZY KORNER,East Baltimore Midway,"701 BARTLETT AVE
Baltimore, MD",631,446
KRISTO'S CARRYOUT,Downtown,"206 SARATOGA ST
Baltimore, MD",537,227
K'S KORNER,Westport,"2300 SIDNEY AVE
Baltimore, MD",652,700
KUANG NING CARRYOUT,Northwest Community Action,"3127 NORTH AVE
Baltimore, MD",356,834
KUMARI RESTAURANT & BAR,Mount Vernon,"911 CHARLES ST
Baltimore, MD",897,26
Kwang Moo Liquor,Tremont,"4742 Frederick Ave
Baltimore, MD",444,703
L. P. DOCKS,Locust Point,"1476 REYNOLDS ST
Baltimore, MD",143,271
L.P. STEAMERS,Riverside,"1100 FORT AVE
Baltimore, MD",980,784
LA  CAZUELA RESTAURANT,Fells Point,"1718 EASTERN AVE
Baltimore, MD",211,149
LA MARSA,Fells Point,"706 BROADWAY
Baltimore, MD",961,974
LA ROCA,Ellwood Park/Monument,"3210 PULASKI HWY
Baltimore, MD",799,535
LA ROCA BRUJA,SBIC,"1453 LIGHT ST
Baltimore, MD",362,45
LA RUMBA,Washington Hill,"1650 54 E PRATT ST
Baltimore, MD",180,974
LA SCALA RISTORANTE ITALIANO,Little Italy,"1012 EASTERN AVE
Baltimore, MD",935,978
"LA SIRENITA RESTAURANT, II",Brewers Hill,"3928 EASTERN AVE
Baltimore, MD",299,577
LA TAVOLA RESTAURANT,Little Italy,"248 ALBEMARLE ST
Baltimore, MD",525,189
LADY D'S CAFÂ,Better Waverly,"2637 GREENMOUNT AVE
Baltimore, MD",817,475
LAGERS PUB,Canton,"2522 FAIT AVE
Baltimore, MD",614,215
LAHOR KABAB HOUSE,Charles North,"2110 CHARLES ST
Baltimore, MD",761,75
LA'RAE,Oliver,"1000 HOFFMAN ST
Baltimore, MD",709,380
LARRY FLYNT'S HUSTLER CLUB,Downtown,"18 CUSTOM HOUSE AVE
Baltimore, MD",378,740
LAS ESPERANZA,Fells Point,"529 BOND ST
Baltimore, MD",496,209
"LAS PALMAS MEXICAN RESTAURANT, INC.",Fells Point,"1622 EASTERN AVE
Baltimore, MD",976,104
LATASCA,Inner Harbor,"201 PRATT ST
Baltimore, MD",605,533
LATIN PALACE  (509-13),Fells Point,"509 BROADWAY
Baltimore, MD",990,916
LATIN QUARTERS,Greektown,"646 NEWKIRK ST
Baltimore, MD",909,717
LAVA LOUNGE,Canton Industrial Area,"1301 PONCA ST
Baltimore, MD",261,68
LEADBETTERS II,Fells Point,"1639 THAMES ST
Baltimore, MD",92,97
LEAR'S II,Canton,"3500 O DONNELL ST
Baltimore, MD",228,460
LEBANESE TAVERNA   (AKA 719 S. PRESIDENT STREET),Inner Harbor,"801 ALICEANNA ST
Baltimore, MD",382,384
LED ENTERPRISES LTD.,Carrollton Ridge,"514 PULASKI ST
Baltimore, MD",818,750
LEGAL SEA FOODS,Inner Harbor,"100 PRATT ST
Baltimore, MD",907,529
LEGEND RESTAURANT,Upton,"614 LAURENS ST
Baltimore, MD",623,345
LEMONGRASS BALTIMORE,Little Italy,"1300 BANK STREET
Baltimore, MD",503,145
LENNY'S DELI OF LOMBARD STREET,Jonestown,"1150 LOMBARD ST
Baltimore, MD",939,126
LEN'S SANDWICH SHOP,Broadway East,"1500 WASHINGTON ST
Baltimore, MD",897,6
LEON'S BAR,Riverside,"1740 LIGHT ST
Baltimore, MD",801,155
LEVEL'S LOUNGE,Penrose/Fayette Street Outreach,"322 FRANKLINTOWN RD
Baltimore, MD",165,167
LIGHT STREET CAFÂ - 17th FLOOR,Inner Harbor,"100 LIGHT ST
Baltimore, MD",777,344
LIGHT STREET TAVERN,SBIC,"1400 LIGHT ST
Baltimore, MD",908,289
LIKE FATHER AND SON,Penrose/Fayette Street Outreach,"228 MONROE ST
Baltimore, MD",883,348
LIL'S PLACE,Mondawmin,"1909 PULASKI ST
Baltimore, MD",672,164
LIME,Riverside,"801 FORT AVE
Baltimore, MD",895,310
LINDEN DELI,Mount Vernon,"890 LINDEN AVE
Baltimore, MD",126,991
LINDEN LOUNGE & BAR,Reservoir Hill,"904 NORTH AVE
Baltimore, MD",543,415
"LITHUANIAN HALL ASSOCIATION, INC.",Hollins Market,"851 HOLLINS ST
Baltimore, MD",978,820
LITTLE BEAVER SOCIAL CLUB,Greektown,"600 LEHIGH ST
Baltimore, MD",141,66
LITTLE HAVANA,Inner Harbor,"1325 key HWY
Baltimore, MD",925,673
LITTLE TAVERN SHOPS,Highlandtown,"3515 EASTERN AVE
Baltimore, MD",670,647
LITTLE TAVERN SHOPS(6412-14),Broening Manor,"6412 HOLABIRD AVE
Baltimore, MD",815,749
LOCO HOMBRE,Evergreen,"411 COLDSPRING LN
Baltimore, MD",532,776
LOCUST POINT TAVERN,Locust Point,"1515 CLEMENT ST
Baltimore, MD",306,742
LONG HING CARRYOUT,Johnston Square,"1131 GREENMOUNT
Baltimore, MD",199,356
LONG JOHN SILVERS/A &W RESTAURANTS,Glen,"6602 REISTERSTOWN RD
Baltimore, MD",632,121
LONG JOHN'S PUB,Remington,"398 29TH ST
Baltimore, MD",932,541
LONGWOOD CAFE',Gwynns Falls,"3001 FREDERICK AVE
Baltimore, MD",882,217
looney's pub,Canton,"2900 o donnell st
Baltimore, MD",825,844
LOS MARIACHIS RESTAURANT,Canton,"2227 EASTERN AVE
Baltimore, MD",388,987
LOUISIANA,Fells Point,"1708 ALICEANNA ST
Baltimore, MD",649,809
LOUNGE 51,Middle East,"633 DUNCAN ST
Baltimore, MD",147,105
LOU'S BAR,Pulaski Industrial Area,"4825 EASTERN AVE
Baltimore, MD",649,527
LOWELL LIQUOR,Central Park Heights,"3201 WOODLAND AVE
Baltimore, MD",928,159
LUCA'S CAFÂ,Locust Point Industrial Area,"1230 FORT AVE
Baltimore, MD",474,628
LULU'S OFF BROADWAY,Fells Point,"1703 ALICEANNA ST
Baltimore, MD",760,798
LUMBINI,Downtown,"322 CHARLES ST
Baltimore, MD",486,866
LUNA DELSEA,Inner Harbor,"300 PRATT ST
Baltimore, MD",214,92
LUST,Downtown,"408 BALTIMORE ST
Baltimore, MD",219,736
LYRIC THEATRE,Mid-Town Belvedere,"110 MOUNT ROYAL AVE
Baltimore, MD",12,965
M & J'S SOUL FOOD,Charles Village,"102 25TH ST
Baltimore, MD",881,708
M & M LIQUOR AND LOUNGE,Central Park Heights,"5142 PARK HEIGHTS AVE
Baltimore, MD",218,25
M & S GRILL/MCCORMICK & SCHMICK'S SEAFOOD REST.,Inner Harbor,"201 PRATT ST
Baltimore, MD",106,167
MACEO'S,Mondawmin,"1926 MONROE ST
Baltimore, MD",13,422
MAGERK'S PUB,Federal Hill,"1061 CHARLES ST
Baltimore, MD",168,546
MAGGIE MOORE'S IRISH PUB & RESTAURANT,Downtown,"21 EUTAW ST
Baltimore, MD",870,45
mahaffey's pub,Canton,"2706 dillon st
Baltimore, MD",517,49
"MAKUTI ENTERPRISES, LLC",Frankford,"5302 FRANKFORD AVE
Baltimore, MD",586,336
MAMA'S ON THE HALF SHELL,Canton,"2901 O DONNELL ST
Baltimore, MD",387,608
MAMMA LUCIA PIZZA,Hanlon-Longwood,"3049 MONDAWMIN MALL
Baltimore, MD",168,470
MAMMA ROMA,Glen,"6604 REISTERSTOWN RD
Baltimore, MD",652,949
MAMMA'S CUCINA,Hampden,"1020 41ST ST
Baltimore, MD",86,359
MARGARETS PLACE,New Southwest/Mount Clare,"351 CALHOUN ST
Baltimore, MD",591,754
MARIA D'S,Federal Hill,"1016 LIGHT ST
Baltimore, MD",102,921
MARTICK'S,Downtown,"214 MULBERRY ST
Baltimore, MD",360,31
MARYLAND CASUALTY  COMPANY (CAFÂ),Roland Park,"3910 KESWICK RD
Baltimore, MD",40,956
MARYLAND CLUB,Mid-Town Belvedere,"1 EAGER ST
Baltimore, MD",712,343
MARYLAND SCIENCE CENTER BEAKER'S CAFÂ,Otterbein,"601 LIGHT ST
Baltimore, MD",434,89
MARY'S TAVERN,Upper Fells Point,"2057 GOUGH ST
Baltimore, MD",621,514
MASTELLONE'S,North Harford Road,"7212 HARFORD RD
Baltimore, MD",693,805
MATSURI RESTAURANT,Federal Hill,"1105 CHARLES ST
Baltimore, MD",65,875
matthew's pizza,Canton,"3131 eastern ave
Baltimore, MD",882,327
MAX'S ON BROADWAY,Fells Point,"735 BROADWAY
Baltimore, MD",300,193
MAYNARD'S CAFE & RESTAURANT,Brooklyn,"3916 HANOVER ST
Baltimore, MD",707,961
MBEPB VF #109-PERRY'S CRESENT CAFÂ,Downtown,"10 HOWARD ST
Baltimore, MD",153,473
MBEPB VF #137--- STATE CENTER CAFÂ,Madison Park,"301 preston st
Baltimore, MD",999,123
MBEPB VF #34,Seton Hill,"300 GREENE ST
Baltimore, MD",492,452
MCCABE'S,Hampden,"3845 FALLS RD
Baltimore, MD",213,163
MCCORMICK & SCHMICK SEAFOOD RESTAURANT,Inner Harbor,"711 EASTERN AVE
Baltimore, MD",968,528
MCCRACKENS ON KEY,Riverside,"1400 KEY HIGHWAY
Baltimore, MD",539,623
MCDONALD'S,Downtown,"101 BALTIMORE ST
Baltimore, MD",290,584
mcdonald's,Brooklyn,"101 patapsco ave
Baltimore, MD",850,622
mcdonald's,Inner Harbor,"200 pratt st
Baltimore, MD",315,975
MCDONALD'S,South Clifton Park,"2001 BROADWAY
Baltimore, MD",543,619
MCDONALD'S,Downtown,"25 HOWARD ST
Baltimore, MD",664,44
MCDONALD'S,Better Waverly,"2840 GREENMOUNT
Baltimore, MD",666,974
MCDONALD'S,Downtown,"31 CALVERT ST
Baltimore, MD",859,948
mcdonald's,Violetville,"3619 wilkens ave
Baltimore, MD",111,636
mcdonald's,Hampden,"3920 falls rd
Baltimore, MD",512,204
MCDONALD'S,Central Park Heights,"4401 REISTERSTOWN RD
Baltimore, MD",862,335
MCDONALD'S,Radnor-Winston,"5100 YORK RD
Baltimore, MD",668,662
MCDONALD'S,Pulaski Industrial Area,"6001 MORAVIA RD
Baltimore, MD",619,495
MCDONALD'S  RESTAURANT,Frankford,"5713 BELAIR RD
Baltimore, MD",803,717
MCDONALD'S #5437,Baltimore Highlands,"3401 PULASKI HWY
Baltimore, MD",385,180
MCDONALD'S (4526-38),Claremont-Freedom,"4526 ERDMAN AVE
Baltimore, MD",990,765
MCDONALD'S 11851,Riverside,"825 FORT AVE
Baltimore, MD",307,186
MCDONALD'S HAMBURGERS,Penrose/Fayette Street Outreach,"2501 FRANKLIN ST
Baltimore, MD",261,20
MCDONALD'S HAMBURGERS,Carroll-South Hilton,"3249 FREDERICK AVE
Baltimore, MD",7,6
MCDONALD'S HAMBURGERS,Downtown,"425 BALTIMORE ST
Baltimore, MD",339,447
MCDONALD'S RESTAURANT,Reisterstown Station,"4205 MORTIMER AVE
Baltimore, MD",253,222
MCDONALD'S RESTAURANT,Downtown,"45 MARKET PL
Baltimore, MD",156,971
MCHENRY STREET PUB,New Southwest/Mount Clare,"1513 MCHENRY ST
Baltimore, MD",735,4
MEADOW MILL ATHLETIC CLUB,Hampden,"3600 CLIPPER MILL RD
Baltimore, MD",129,396
MEHEK,Fells Point,"811 BROADWAY
Baltimore, MD",493,377
MELI PATISSERIE & BISTRO,Fells Point,"818 BROADWAY
Baltimore, MD",559,107
METROPOLITAN COFFEEHOUSE AND WINE BAR,Federal Hill,"902 CHARLES ST
Baltimore, MD",702,222
MEX RESTAURANT,Downtown,"26 MARKET PL
Baltimore, MD",502,534
MICHAEL'S STEAK & LOBSTER HOUSE,Joseph Lee,"6207 EASTERN AVE
Baltimore, MD",267,696
MICHELLE'S CAFÂ,Fells Point,"1836 EASTERN AVE
Baltimore, MD",99,563
MICK 0' SHEA'S IRISH PUB,Downtown,"328 CHARLES ST
Baltimore, MD",706,475
MIDTOWN YACHT CLUB,Mount Vernon,"15 CENTRE ST
Baltimore, MD",770,652
"NEW REX LIQUORS,INC.",Wilson Park,"4637 YORK RD
Baltimore, MD",358,145
NEW RITZ CABARET,Fells Point,"504 BROADWAY
Baltimore, MD",752,910
NEW SEOUL RESTAURANT,Charles North,"1910 16 N CHARLES ST
Baltimore, MD",469,50
"NICHIBAN OF FEDERAL HILL, INC.",Federal Hill,"1035 CHARLES ST
Baltimore, MD",400,792
NICK'S,Carrollton Ridge,"2200 WILKENS AVE
Baltimore, MD",457,300
NICK'S FISH HOUSE,Port Covington,"2600 INSULATOR DR
Baltimore, MD",466,25
NIGHT OF THE COOKERS. LLC,Mount Vernon,"885 HOWARD ST
Baltimore, MD",48,891
NIGHTSHIFT,Canton Industrial Area,"1725 PONCA ST
Baltimore, MD",213,756
NIWANA,Charles Village,"3215 CHARLES ST
Baltimore, MD",51,403
NO IDEA,SBIC,"1649 HANOVER ST
Baltimore, MD",388,259
NO WAY JOSE CAFÂ,Federal Hill,"38 CROSS ST
Baltimore, MD",507,618
NO. #1 CHINESE RESTAURANT,Highlandtown,"3710 EASTERN AVE
Baltimore, MD",793,886
NORMA  JEANS,Downtown,"10 CUSTOM HOUSE AVE
Baltimore, MD",313,762
NORTH POLE ICE CREAM COMPANY,Highlandtown,"3713 EASTERN AVE
Baltimore, MD",496,172
NORTH'S CAFÂ,Arlington,"3716 BELVEDERE AVE
Baltimore, MD",104,550
NORTHSIDE SPORTS BAR,Abell,"3100 GREENMOUNT AVE
Baltimore, MD",203,26
OASIS NITECLUB,Downtown,"417 BALTIMORE ST
Baltimore, MD",184,510
O'BRADY SALOON,Fairfield Area,"3432 HANOVER ST
Baltimore, MD",364,979
O'CONNORS,Greektown,"4801 EASTERN AVE
Baltimore, MD",62,690
O'DONNELL PUB,Canton,"531 POTOMAC ST
Baltimore, MD",142,376
ODYSSEY LOUNGE,Sandtown-Winchester,"1323 PRESSTMAN ST
Baltimore, MD",988,806
O'HARA'S IRISH PUB,Rosemont East,"6506 BELAIR RD
Baltimore, MD",285,104
OK TAVERN,Biddle Street,"2301 BIDDLE ST
Baltimore, MD",787,424
